Species	Sample	TPM
species_0	S26_BML	0
species_1	S26_BML	0
species_100	S25_SRF	0
species_1000	S26_BML	0.154545
species_1002	S26_BML	0.174424
species_1004	S26_BML	0
species_1005	S25_BML	0
species_1009	S10_SRF	0
species_1013	S10_SRF	0
species_1015	S26_BML	0
species_1016	S25_BML	0
species_1017	S26_BML	0
species_1019	S25_BML	0
species_102	S25_SRF	0.0672522
species_1021	S10_SRF	0
species_1022	S25_SRF	4.65755
species_1024	S25_BML	1.16538
species_1024	S25_SRF	0
species_1025	S10_SRF	0
species_1025	S25_BML	2.75505
species_1025	S25_SRF	3.6724
species_1025	S26_BML	0
species_1026	S26_BML	0
species_1027	S25_SRF	0.13301
species_1027	S26_BML	0
species_1028	S10_SRF	0
species_1029	S25_BML	0
species_1032	S25_BML	2.91345
species_1032	S25_SRF	0
species_1032	S26_BML	0
species_1033	S10_SRF	0
species_1033	S25_BML	0
species_1033	S25_SRF	0
species_1034	S10_SRF	0.69815
species_1034	S25_SRF	0
species_1035	S10_SRF	0
species_1035	S25_SRF	0
species_1037	S25_BML	0
species_1038	S25_SRF	0.323537
species_1039	S26_BML	0
species_104	S25_SRF	0
species_1040	S10_SRF	0
species_1041	S10_SRF	4.42832
species_1042	S25_BML	0
species_1043	S10_SRF	0
species_1043	S25_SRF	0
species_1043	S26_BML	0
species_1046	S25_BML	0
species_1047	S25_BML	0
species_1047	S25_SRF	0
species_1047	S26_BML	0
species_1049	S25_SRF	0.0494665
species_105	S25_SRF	0
species_1050	S25_BML	0
species_1050	S25_SRF	0
species_1051	S10_SRF	0
species_1051	S25_BML	0
species_1051	S25_SRF	1.44592
species_1051	S26_BML	4.08487
species_1053	S25_BML	0
species_1053	S26_BML	0
species_1054	S10_SRF	0
species_1056	S10_SRF	0
species_1057	S25_SRF	0
species_1057	S26_BML	0
species_1059	S10_SRF	0
species_106	S25_BML	0
species_106	S25_SRF	6.24999
species_106	S26_BML	1.51984
species_1060	S10_SRF	0
species_1061	S10_SRF	0
species_1063	S26_BML	0
species_1064	S25_SRF	0.0197322
species_1065	S25_BML	0
species_1066	S25_SRF	0.0336261
species_1067	S10_SRF	0
species_1067	S25_BML	0
species_1067	S25_SRF	0.162869
species_1067	S26_BML	3.62228
species_1068	S25_BML	0
species_1069	S10_SRF	0
species_1069	S25_BML	0
species_1069	S25_SRF	0
species_1069	S26_BML	0.798485
species_107	S26_BML	0
species_1072	S25_BML	0
species_1072	S25_SRF	0
species_1072	S26_BML	0.0146793
species_1077	S26_BML	0.014509
species_1078	S25_SRF	0
species_1079	S10_SRF	0
species_108	S10_SRF	0
species_1080	S10_SRF	0
species_1080	S25_BML	2.33076
species_1080	S25_SRF	7.53224
species_1080	S26_BML	0
species_1082	S25_BML	1.16538
species_1083	S10_SRF	0
species_1084	S10_SRF	0
species_1084	S25_SRF	0
species_1084	S26_BML	4.86348
species_1086	S10_SRF	1.2097
species_1086	S25_BML	0
species_1086	S25_SRF	1.19065
species_1086	S26_BML	8.72833
species_1087	S26_BML	0
species_1088	S10_SRF	0
species_1088	S25_SRF	0
species_1088	S26_BML	0
species_109	S25_BML	0
species_1090	S25_BML	485.289
species_1090	S25_SRF	0
species_1091	S25_BML	0
species_1093	S10_SRF	0
species_1094	S25_SRF	0
species_1094	S26_BML	0
species_1095	S25_SRF	0.0831312
species_1096	S25_BML	0
species_1097	S10_SRF	0
species_1099	S10_SRF	3.16748
species_1099	S25_SRF	0
species_1099	S26_BML	1.80303
species_1100	S25_SRF	0
species_1101	S10_SRF	0
species_1101	S25_BML	0
species_1101	S25_SRF	0
species_1101	S26_BML	0
species_1103	S26_BML	0.0162776
species_1104	S10_SRF	0.104375
species_1105	S10_SRF	7.57726
species_1105	S25_SRF	0
species_1105	S26_BML	0.0237557
species_1106	S26_BML	0
species_1107	S10_SRF	0
species_1107	S25_SRF	0
species_1110	S26_BML	0
species_1112	S25_SRF	0.0661375
species_1112	S26_BML	0.0252377
species_1116	S26_BML	0
species_1117	S25_SRF	0
species_1120	S10_SRF	0.0594989
species_1120	S25_BML	0
species_1120	S25_SRF	0
species_1120	S26_BML	3.26421
species_1121	S10_SRF	0
species_1121	S25_SRF	4.6404
species_1121	S26_BML	0.0772727
species_1123	S25_BML	0
species_1123	S26_BML	0
species_1124	S10_SRF	0.0660889
species_1124	S25_BML	0.569883
species_1124	S25_SRF	0.263096
species_1124	S26_BML	0.0251915
species_1125	S26_BML	0
species_1127	S26_BML	0
species_1129	S10_SRF	0
species_1129	S25_BML	0
species_113	S10_SRF	0
species_113	S25_BML	1.16538
species_113	S25_SRF	0.706148
species_113	S26_BML	0.163745
species_1131	S25_SRF	0.991951
species_1132	S25_SRF	0
species_1133	S10_SRF	0
species_1134	S10_SRF	0
species_1135	S25_SRF	0
species_1137	S25_SRF	0
species_1138	S25_BML	0
species_1139	S25_BML	0
species_1139	S25_SRF	0
species_1139	S26_BML	0
species_1141	S10_SRF	1.72274
species_1141	S25_BML	0
species_1141	S25_SRF	0
species_1142	S10_SRF	0
species_1142	S25_BML	0
species_1142	S25_SRF	0
species_1142	S26_BML	5.45815
species_1143	S25_BML	0
species_1144	S10_SRF	0
species_1145	S25_SRF	0
species_1146	S25_BML	0
species_1146	S26_BML	0
species_1147	S10_SRF	1.54237
species_1147	S25_BML	1.14606
species_1147	S25_SRF	0.380577
species_1147	S26_BML	0
species_1149	S26_BML	0
species_1150	S26_BML	0.0341304
species_1151	S10_SRF	0.725821
species_1151	S25_BML	0
species_1151	S25_SRF	27.4613
species_1151	S26_BML	6.45932
species_1152	S25_BML	0
species_1153	S26_BML	0
species_1154	S26_BML	0
species_1155	S10_SRF	0
species_1156	S25_SRF	0
species_1157	S10_SRF	0
species_1158	S26_BML	0
species_1159	S25_BML	0
species_116	S25_SRF	0
species_1160	S10_SRF	0
species_1161	S10_SRF	0
species_1162	S25_BML	0
species_1163	S10_SRF	0
species_1163	S25_BML	1.15243
species_1163	S25_SRF	0
species_1163	S26_BML	0
species_1164	S25_BML	0
species_1165	S10_SRF	5.23
species_1165	S25_SRF	0
species_1166	S25_BML	0.704771
species_1166	S25_SRF	0
species_1166	S26_BML	0
species_1167	S10_SRF	0.105267
species_1168	S25_SRF	0
species_1168	S26_BML	0
species_1169	S25_SRF	0
species_117	S25_BML	0
species_1170	S25_BML	0
species_1170	S25_SRF	0
species_1170	S26_BML	0.78525
species_1171	S26_BML	0
species_1172	S25_SRF	0
species_1173	S25_BML	0
species_1176	S10_SRF	0
species_1176	S25_SRF	0
species_1177	S10_SRF	0
species_1177	S25_BML	0
species_1177	S26_BML	0
species_1178	S25_BML	0
species_1180	S25_BML	0
species_12	S25_BML	0
species_12	S25_SRF	0
species_120	S10_SRF	0
species_121	S10_SRF	3.14908
species_121	S25_BML	0.58269
species_121	S25_SRF	0
species_121	S26_BML	2.83333
species_123	S26_BML	0
species_124	S25_BML	47.7082
species_125	S10_SRF	0
species_127	S10_SRF	0
species_127	S25_SRF	0
species_127	S26_BML	0
species_128	S25_BML	0
species_129	S25_BML	0
species_131	S10_SRF	0
species_132	S25_SRF	0
species_132	S26_BML	0
species_133	S25_BML	0
species_133	S25_SRF	0.246497
species_133	S26_BML	0
species_134	S25_BML	0
species_134	S25_SRF	0
species_134	S26_BML	0
species_135	S25_BML	0
species_136	S10_SRF	0.0617357
species_138	S10_SRF	0
species_140	S10_SRF	0
species_140	S25_BML	0
species_140	S25_SRF	0
species_140	S26_BML	5.13304
species_141	S25_BML	0
species_141	S25_SRF	0.968742
species_141	S26_BML	0
species_142	S26_BML	0
species_143	S26_BML	0.0151984
species_144	S25_BML	0
species_145	S10_SRF	0
species_146	S25_SRF	0
species_147	S10_SRF	0
species_147	S25_BML	0
species_147	S25_SRF	0
species_149	S25_BML	0
species_15	S25_SRF	0
species_150	S25_BML	0
species_150	S26_BML	0
species_151	S25_BML	0
species_151	S26_BML	0
species_152	S10_SRF	0
species_153	S25_BML	0
species_156	S10_SRF	0
species_157	S26_BML	0
species_160	S10_SRF	1.52053
species_160	S25_BML	0
species_160	S25_SRF	2.58864
species_160	S26_BML	4.04841
species_161	S25_BML	0
species_161	S26_BML	0
species_163	S10_SRF	0
species_163	S25_SRF	0
species_165	S25_SRF	0
species_165	S26_BML	0
species_166	S10_SRF	0
species_166	S25_SRF	0
species_166	S26_BML	0
species_168	S10_SRF	2.69077
species_168	S25_BML	4.4263
species_168	S25_SRF	4.28807
species_168	S26_BML	1.78877
species_169	S10_SRF	0
species_17	S10_SRF	0
species_171	S26_BML	0
species_172	S26_BML	0
species_174	S10_SRF	0
species_176	S10_SRF	0
species_176	S25_BML	203.795
species_176	S25_SRF	0
species_176	S26_BML	21.294
species_177	S26_BML	1.01317
species_181	S25_SRF	0
species_183	S25_BML	0
species_185	S26_BML	0
species_186	S25_BML	4.66152
species_186	S25_SRF	0
species_186	S26_BML	0
species_187	S10_SRF	0
species_187	S25_BML	0
species_187	S26_BML	0.745038
species_188	S10_SRF	0
species_189	S10_SRF	0.122322
species_19	S10_SRF	0
species_19	S25_SRF	7.89142
species_191	S25_BML	0
species_192	S25_BML	0
species_193	S10_SRF	0.24194
species_193	S25_BML	1.14606
species_193	S25_SRF	0
species_193	S26_BML	0
species_195	S25_BML	0
species_195	S25_SRF	0
species_196	S25_BML	0
species_196	S25_SRF	0
species_196	S26_BML	0
species_198	S10_SRF	5.35226
species_198	S25_BML	0
species_198	S25_SRF	10.6529
species_198	S26_BML	8.4864
species_199	S25_SRF	0
species_2	S10_SRF	0
species_200	S25_SRF	0
species_201	S10_SRF	0
species_201	S25_SRF	0
species_201	S26_BML	0
species_202	S25_BML	0
species_205	S10_SRF	0
species_207	S10_SRF	0
species_209	S26_BML	0.946871
species_21	S10_SRF	0
species_210	S26_BML	0
species_211	S10_SRF	0
species_212	S25_SRF	0
species_213	S25_BML	1.15887
species_213	S25_SRF	0
species_213	S26_BML	0
species_214	S25_SRF	0
species_217	S10_SRF	0
species_217	S25_SRF	0
species_217	S26_BML	0
species_218	S26_BML	0
species_224	S10_SRF	8.95179
species_224	S25_BML	1.454
species_224	S25_SRF	0.0330687
species_224	S26_BML	0.151984
species_228	S10_SRF	0
species_228	S25_SRF	0
species_228	S26_BML	0
species_229	S10_SRF	0
species_23	S10_SRF	0
species_23	S26_BML	0
species_232	S10_SRF	0.0615045
species_233	S25_SRF	0
species_233	S26_BML	0
species_234	S10_SRF	0
species_234	S26_BML	0
species_235	S10_SRF	0.428126
species_235	S26_BML	0
species_236	S10_SRF	0
species_236	S25_BML	0
species_236	S26_BML	5.25454
species_237	S25_SRF	0
species_239	S25_SRF	0
species_24	S10_SRF	0
species_24	S25_BML	1.16538
species_24	S25_SRF	0.134504
species_24	S26_BML	0.206061
species_240	S10_SRF	3.12858
species_240	S25_SRF	0
species_240	S26_BML	2.89045
species_241	S10_SRF	0
species_241	S25_BML	0
species_241	S25_SRF	1.56142
species_241	S26_BML	4.31075
species_242	S10_SRF	0
species_242	S26_BML	0
species_243	S10_SRF	0
species_246	S25_BML	0
species_246	S25_SRF	0
species_246	S26_BML	0
species_247	S10_SRF	3.0959
species_247	S25_SRF	0
species_248	S10_SRF	0
species_248	S25_SRF	0
species_25	S10_SRF	0
species_251	S26_BML	0
species_252	S10_SRF	0.0615045
species_252	S25_BML	1.16538
species_252	S25_SRF	1.07603
species_252	S26_BML	0
species_254	S26_BML	0
species_255	S25_SRF	0
species_257	S25_BML	0
species_257	S25_SRF	0
species_257	S26_BML	0.0375807
species_258	S26_BML	0
species_259	S25_SRF	0
species_26	S10_SRF	0
species_26	S25_BML	2.21858
species_26	S25_SRF	0
species_26	S26_BML	0
species_260	S10_SRF	0
species_260	S25_SRF	0
species_260	S26_BML	0
species_261	S25_BML	0
species_262	S26_BML	0
species_263	S10_SRF	0
species_264	S10_SRF	0
species_264	S25_BML	0.563689
species_264	S25_SRF	7.87216
species_265	S10_SRF	0
species_265	S25_SRF	0
species_267	S10_SRF	0
species_268	S10_SRF	0.0302425
species_268	S25_BML	0
species_268	S25_SRF	4.07087
species_268	S26_BML	0.0506613
species_27	S26_BML	0
species_272	S25_SRF	0
species_273	S10_SRF	0.0601528
species_275	S25_BML	4.63547
species_275	S26_BML	2.85259
species_276	S10_SRF	2.14722
species_276	S25_BML	0.573032
species_276	S25_SRF	0.562169
species_276	S26_BML	0
species_278	S10_SRF	0
species_278	S25_BML	1.14606
species_278	S25_SRF	5.78703
species_278	S26_BML	0
species_279	S25_BML	0.563689
species_279	S25_SRF	0
species_279	S26_BML	0
species_280	S10_SRF	0
species_280	S25_BML	2.33076
species_280	S25_SRF	0
species_280	S26_BML	0.0833609
species_281	S25_BML	0
species_282	S26_BML	0.0289569
species_283	S25_SRF	0
species_284	S10_SRF	0
species_284	S25_SRF	0
species_285	S10_SRF	0.416178
species_286	S10_SRF	0
species_286	S25_BML	0
species_288	S25_SRF	0
species_289	S10_SRF	0
species_291	S26_BML	0
species_292	S10_SRF	0
species_294	S25_SRF	0
species_295	S25_BML	0
species_297	S25_BML	0
species_297	S25_SRF	0
species_297	S26_BML	0
species_298	S10_SRF	7.14648
species_298	S25_BML	3.45729
species_298	S25_SRF	0
species_298	S26_BML	1.01886
species_299	S10_SRF	0
species_299	S25_BML	0
species_299	S25_SRF	0.0330687
species_299	S26_BML	0
species_30	S10_SRF	0
species_30	S25_SRF	0
species_30	S26_BML	0
species_301	S25_BML	0
species_302	S25_SRF	0
species_303	S10_SRF	0
species_303	S25_BML	0.573032
species_303	S25_SRF	13.6243
species_303	S26_BML	14.5145
species_304	S10_SRF	0
species_305	S10_SRF	0
species_306	S10_SRF	4.75363
species_306	S25_BML	1.16538
species_306	S25_SRF	9.41518
species_306	S26_BML	0.0515151
species_308	S26_BML	0
species_309	S26_BML	0
species_310	S25_SRF	0
species_311	S10_SRF	0
species_311	S25_BML	0
species_311	S25_SRF	0.706148
species_311	S26_BML	4.27669
species_312	S25_SRF	0
species_313	S25_SRF	1.29621
species_314	S25_BML	0
species_315	S10_SRF	10.5655
species_316	S10_SRF	1.4962
species_317	S26_BML	0
species_318	S25_BML	0
species_319	S25_SRF	0
species_32	S25_SRF	0
species_32	S26_BML	0
species_320	S25_SRF	0
species_322	S26_BML	0
species_325	S10_SRF	0
species_325	S25_SRF	0
species_325	S26_BML	0
species_326	S25_SRF	0
species_329	S25_SRF	0
species_33	S26_BML	0
species_330	S25_BML	0
species_332	S26_BML	0
species_333	S10_SRF	0
species_333	S25_SRF	0
species_334	S25_BML	0.573032
species_334	S25_SRF	0
species_336	S10_SRF	0
species_336	S25_BML	0
species_336	S25_SRF	0.26455
species_336	S26_BML	0
species_337	S25_SRF	0.244153
species_338	S26_BML	5.20629
species_339	S10_SRF	0
species_34	S10_SRF	0
species_34	S25_SRF	0
species_341	S25_BML	0
species_341	S25_SRF	0
species_341	S26_BML	0
species_342	S26_BML	3.02999
species_343	S25_SRF	0
species_344	S10_SRF	8.27518
species_344	S25_BML	0
species_344	S25_SRF	1.85185
species_344	S26_BML	0
species_345	S25_BML	0.628598
species_347	S10_SRF	0
species_347	S26_BML	0
species_35	S26_BML	0
species_350	S26_BML	0
species_352	S10_SRF	0
species_355	S25_BML	0
species_356	S26_BML	0
species_359	S26_BML	0
species_36	S26_BML	0
species_361	S26_BML	1.23221
species_363	S10_SRF	0
species_363	S25_BML	0
species_363	S25_SRF	4.66957
species_363	S26_BML	0
species_366	S10_SRF	0
species_366	S25_SRF	1.44592
species_366	S26_BML	0
species_368	S10_SRF	0
species_37	S25_SRF	0.435305
species_370	S10_SRF	0
species_370	S25_SRF	0
species_370	S26_BML	1.15939
species_372	S25_SRF	0
species_373	S10_SRF	0
species_375	S26_BML	0
species_376	S10_SRF	4.04461
species_377	S26_BML	0
species_378	S10_SRF	0
species_378	S25_BML	1.16538
species_378	S25_SRF	0.100878
species_378	S26_BML	0
species_380	S10_SRF	9.8049
species_380	S25_BML	0.569883
species_380	S25_SRF	14.4738
species_380	S26_BML	0.881701
species_381	S10_SRF	0
species_385	S10_SRF	0
species_386	S25_BML	0
species_387	S10_SRF	0
species_388	S10_SRF	0
species_389	S25_SRF	0
species_390	S25_BML	0
species_390	S25_SRF	0
species_390	S26_BML	0
species_391	S25_BML	1.15243
species_391	S25_SRF	0
species_391	S26_BML	0
species_393	S10_SRF	0
species_393	S26_BML	0
species_394	S10_SRF	0.285726
species_396	S26_BML	0
species_397	S10_SRF	0
species_397	S25_BML	0
species_399	S26_BML	0
species_4	S10_SRF	0
species_401	S25_SRF	0
species_402	S10_SRF	0
species_403	S10_SRF	0
species_403	S25_SRF	0
species_405	S10_SRF	0
species_406	S26_BML	0.861242
species_407	S10_SRF	0
species_408	S10_SRF	0.0307523
species_408	S25_BML	2.91345
species_408	S25_SRF	0
species_408	S26_BML	0
species_409	S25_BML	0
species_409	S25_SRF	0
species_409	S26_BML	0
species_41	S10_SRF	4.86922
species_41	S25_BML	0
species_41	S25_SRF	0
species_41	S26_BML	0.0759919
species_410	S25_BML	0.605362
species_410	S25_SRF	0
species_413	S10_SRF	4.95956
species_413	S25_SRF	0.187903
species_413	S26_BML	0
species_414	S25_BML	22.1422
species_415	S10_SRF	0
species_416	S25_BML	0
species_419	S26_BML	0.0509428
species_42	S10_SRF	0
species_42	S26_BML	0
species_420	S25_SRF	0
species_421	S25_SRF	0
species_421	S26_BML	0
species_423	S10_SRF	0
species_423	S25_BML	0
species_423	S25_SRF	0
species_423	S26_BML	0.058282
species_424	S10_SRF	0
species_428	S10_SRF	0
species_43	S25_SRF	4.42984
species_431	S26_BML	1.94602
species_432	S25_SRF	0
species_433	S25_BML	0
species_434	S25_BML	0
species_434	S25_SRF	0
species_435	S25_BML	0
species_438	S26_BML	0
species_44	S25_BML	0
species_440	S10_SRF	0
species_441	S10_SRF	0
species_442	S25_BML	4.17657
species_443	S25_BML	0
species_443	S25_SRF	0
species_447	S25_SRF	0
species_449	S25_BML	0
species_45	S26_BML	0
species_450	S10_SRF	0.511298
species_450	S25_BML	0.715302
species_450	S25_SRF	4.47264
species_450	S26_BML	0.0503829
species_451	S26_BML	0
species_452	S25_SRF	0.60527
species_453	S10_SRF	0
species_453	S26_BML	0
species_454	S10_SRF	0
species_454	S25_BML	0
species_454	S25_SRF	3.48463
species_454	S26_BML	0
species_455	S26_BML	0
species_456	S10_SRF	0.27677
species_456	S25_BML	0
species_457	S10_SRF	0.88719
species_458	S25_SRF	0
species_458	S26_BML	0
species_460	S10_SRF	0
species_461	S10_SRF	0.128295
species_461	S25_BML	0
species_461	S25_SRF	0
species_461	S26_BML	0.217001
species_462	S10_SRF	0
species_462	S25_BML	2.33076
species_462	S25_SRF	10.9292
species_462	S26_BML	4.48182
species_463	S10_SRF	0
species_464	S10_SRF	9.14026
species_464	S25_BML	11.6538
species_464	S25_SRF	4.5059
species_466	S25_BML	0
species_468	S10_SRF	5.77801
species_468	S25_BML	1.16538
species_468	S25_SRF	1.16862
species_47	S26_BML	0
species_470	S26_BML	0
species_471	S25_BML	0
species_476	S25_SRF	0
species_477	S10_SRF	0
species_477	S25_BML	3.98606
species_477	S25_SRF	10.9089
species_477	S26_BML	7.71309
species_48	S10_SRF	0
species_48	S25_SRF	0
species_481	S10_SRF	6.7655
species_481	S25_BML	0.58269
species_481	S25_SRF	8.55643
species_481	S26_BML	4.9107
species_483	S10_SRF	0
species_485	S25_BML	0
species_487	S25_SRF	0
species_488	S25_SRF	0
species_493	S10_SRF	0.215266
species_493	S25_SRF	0
species_494	S25_SRF	1.57858
species_496	S10_SRF	0
species_498	S10_SRF	13.5907
species_498	S25_BML	4.29181
species_498	S25_SRF	0.548285
species_499	S25_SRF	0
species_50	S25_BML	0
species_50	S26_BML	0
species_500	S25_SRF	3.12723
species_501	S25_SRF	0
species_502	S25_SRF	0
species_503	S10_SRF	0
species_503	S25_BML	0
species_503	S26_BML	0
species_504	S25_BML	0
species_504	S26_BML	2.07501
species_505	S26_BML	0
species_506	S25_SRF	0
species_506	S26_BML	0
species_508	S25_SRF	0
species_51	S26_BML	0
species_511	S10_SRF	0
species_512	S10_SRF	10.1959
species_512	S25_BML	6.26872
species_512	S25_SRF	0
species_517	S25_BML	0
species_518	S25_SRF	0
species_518	S26_BML	2.23455
species_519	S25_SRF	0
species_52	S26_BML	0
species_520	S10_SRF	0
species_520	S25_BML	2.33076
species_520	S25_SRF	0
species_523	S25_BML	0
species_523	S25_SRF	0
species_523	S26_BML	0
species_524	S10_SRF	0
species_525	S25_BML	0
species_526	S25_BML	0.663446
species_527	S10_SRF	0
species_527	S25_BML	0
species_527	S25_SRF	0
species_529	S25_SRF	6.81334
species_53	S10_SRF	0
species_53	S25_SRF	0
species_530	S25_BML	0
species_532	S25_SRF	1.03906
species_534	S10_SRF	0
species_534	S25_BML	0
species_534	S25_SRF	0
species_535	S25_SRF	0
species_536	S10_SRF	0.244644
species_537	S10_SRF	0
species_537	S25_BML	1.29648
species_537	S25_SRF	0
species_538	S25_SRF	0
species_539	S25_SRF	0
species_540	S25_SRF	0
species_541	S10_SRF	0
species_542	S25_SRF	0
species_543	S26_BML	0
species_545	S25_BML	0
species_545	S25_SRF	0
species_545	S26_BML	0
species_546	S25_BML	0
species_547	S25_BML	0
species_547	S25_SRF	0.0358052
species_55	S25_BML	0.58269
species_55	S25_SRF	0
species_55	S26_BML	0
species_551	S25_SRF	0
species_552	S10_SRF	0
species_552	S25_SRF	0.225259
species_554	S25_BML	0
species_555	S10_SRF	0.830311
species_555	S25_BML	2.33076
species_555	S25_SRF	0.171013
species_555	S26_BML	0.0515151
species_557	S25_BML	0
species_557	S25_SRF	0
species_56	S10_SRF	0
species_561	S10_SRF	3.01372
species_562	S25_BML	0
species_562	S25_SRF	0.13367
species_563	S25_BML	687.85
species_563	S25_SRF	0.538017
species_563	S26_BML	0
species_564	S10_SRF	0
species_566	S26_BML	2.35575
species_567	S10_SRF	0
species_567	S26_BML	0
species_568	S25_SRF	0
species_568	S26_BML	3.96667
species_569	S25_SRF	0
species_57	S25_BML	1.1503
species_572	S10_SRF	0.421069
species_572	S25_BML	1.13977
species_572	S25_SRF	11.2594
species_572	S26_BML	9.85388
species_574	S25_SRF	0
species_575	S10_SRF	0
