Species	Sample	Raw_abund	Rel_abund
species_0	S26_BML	1	0.114025
species_0	S26_SRF	1	0.0873362
species_0	S8_BML	1	0.0896861
species_0	S8_SRF	1	0.13459
species_1	S26_BML	1	0.114025
species_1	S26_SRF	1	0.0873362
species_1	S8_BML	1	0.0896861
species_10	S10_BML	1	0.0595948
species_10	S26_SRF	1	0.0873362
species_10	S8_BML	1	0.0896861
species_100	S25_SRF	1	0.0933707
species_1000	S26_BML	1	0.114025
species_1000	S26_SRF	1	0.0873362
species_1000	S8_BML	3	0.269058
species_1000	S8_SRF	1	0.13459
species_1001	S26_SRF	1	0.0873362
species_1002	S10_BML	1	0.0595948
species_1002	S26_BML	1	0.114025
species_1002	S8_BML	2	0.179372
species_1002	S8_SRF	1	0.13459
species_1003	S8_BML	1	0.0896861
species_1004	S26_BML	1	0.114025
species_1004	S8_BML	1	0.0896861
species_1005	S25_BML	1	0.0981354
species_1006	S8_SRF	1	0.13459
species_1007	S10_BML	1	0.0595948
species_1008	S10_BML	1	0.0595948
species_1009	S10_SRF	1	0.06035
species_101	S8_BML	1	0.0896861
species_1010	S8_BML	1	0.0896861
species_1011	S26_SRF	1	0.0873362
species_1011	S8_SRF	1	0.13459
species_1012	S10_BML	1	0.0595948
species_1013	S10_SRF	1	0.06035
species_1014	S26_SRF	1	0.0873362
species_1015	S26_BML	1	0.114025
species_1016	S25_BML	1	0.0981354
species_1017	S26_BML	1	0.114025
species_1018	S26_SRF	1	0.0873362
species_1019	S25_BML	1	0.0981354
species_1019	S8_SRF	1	0.13459
species_102	S25_SRF	1	0.0933707
species_1020	S8_BML	1	0.0896861
species_1021	S10_SRF	1	0.06035
species_1022	S10_BML	1	0.0595948
species_1022	S25_SRF	1	0.0933707
species_1023	S8_BML	1	0.0896861
species_1024	S10_BML	18	1.07271
species_1024	S25_BML	2	0.196271
species_1024	S25_SRF	8	0.746965
species_1024	S26_SRF	2	0.174672
species_1024	S8_BML	1	0.0896861
species_1024	S8_SRF	6	0.807537
species_1025	S10_BML	18	1.07271
species_1025	S10_SRF	2	0.1207
species_1025	S25_BML	3	0.294406
species_1025	S25_SRF	8	0.746965
species_1025	S26_BML	5	0.570125
species_1025	S26_SRF	5	0.436681
species_1025	S8_BML	11	0.986547
species_1025	S8_SRF	7	0.942127
species_1026	S26_BML	1	0.114025
species_1026	S26_SRF	1	0.0873362
species_1027	S25_SRF	1	0.0933707
species_1027	S26_BML	1	0.114025
species_1027	S26_SRF	2	0.174672
species_1027	S8_BML	1	0.0896861
species_1027	S8_SRF	2	0.269179
species_1028	S10_SRF	1	0.06035
species_1028	S26_SRF	1	0.0873362
species_1029	S25_BML	4	0.392542
species_103	S8_BML	1	0.0896861
species_1030	S10_BML	1	0.0595948
species_1030	S8_BML	1	0.0896861
species_1031	S8_BML	1	0.0896861
species_1031	S8_SRF	1	0.13459
species_1032	S10_BML	9	0.536353
species_1032	S25_BML	5	0.490677
species_1032	S25_SRF	3	0.280112
species_1032	S26_BML	1	0.114025
species_1032	S26_SRF	9	0.786026
species_1032	S8_BML	5	0.44843
species_1032	S8_SRF	4	0.538358
species_1033	S10_BML	9	0.536353
species_1033	S10_SRF	12	0.7242
species_1033	S25_BML	3	0.294406
species_1033	S25_SRF	2	0.186741
species_1034	S10_BML	1	0.0595948
species_1034	S10_SRF	1	0.06035
species_1034	S25_SRF	2	0.186741
species_1034	S26_SRF	1	0.0873362
species_1035	S10_BML	1	0.0595948
species_1035	S10_SRF	1	0.06035
species_1035	S25_SRF	1	0.0933707
species_1035	S26_SRF	1	0.0873362
species_1035	S8_BML	4	0.358744
species_1035	S8_SRF	2	0.269179
species_1036	S26_SRF	1	0.0873362
species_1037	S25_BML	1	0.0981354
species_1037	S8_BML	1	0.0896861
species_1038	S25_SRF	1	0.0933707
species_1038	S8_BML	2	0.179372
species_1039	S26_BML	1	0.114025
species_104	S25_SRF	1	0.0933707
species_1040	S10_SRF	1	0.06035
species_1041	S10_BML	2	0.11919
species_1041	S10_SRF	1	0.06035
species_1041	S26_SRF	1	0.0873362
species_1042	S25_BML	2	0.196271
species_1042	S26_SRF	1	0.0873362
species_1043	S10_SRF	3	0.18105
species_1043	S25_SRF	1	0.0933707
species_1043	S26_BML	1	0.114025
species_1044	S8_SRF	1	0.13459
species_1045	S26_SRF	1	0.0873362
species_1046	S25_BML	4	0.392542
species_1047	S10_BML	2	0.11919
species_1047	S25_BML	1	0.0981354
species_1047	S25_SRF	1	0.0933707
species_1047	S26_BML	1	0.114025
species_1047	S26_SRF	4	0.349345
species_1047	S8_BML	1	0.0896861
species_1047	S8_SRF	2	0.269179
species_1048	S8_BML	1	0.0896861
species_1049	S25_SRF	1	0.0933707
species_1049	S26_SRF	1	0.0873362
species_1049	S8_SRF	1	0.13459
species_105	S25_SRF	1	0.0933707
species_105	S8_BML	1	0.0896861
species_1050	S10_BML	4	0.238379
species_1050	S25_BML	1	0.0981354
species_1050	S25_SRF	2	0.186741
species_1050	S8_BML	1	0.0896861
species_1051	S10_BML	3	0.178784
species_1051	S10_SRF	1	0.06035
species_1051	S25_BML	1	0.0981354
species_1051	S25_SRF	1	0.0933707
species_1051	S26_BML	2	0.22805
species_1051	S26_SRF	1	0.0873362
species_1051	S8_BML	1	0.0896861
species_1051	S8_SRF	1	0.13459
species_1052	S10_BML	1	0.0595948
species_1052	S8_BML	1	0.0896861
species_1053	S10_BML	2	0.11919
species_1053	S25_BML	1	0.0981354
species_1053	S26_BML	1	0.114025
species_1054	S10_SRF	1	0.06035
species_1055	S8_BML	1	0.0896861
species_1056	S10_SRF	1	0.06035
species_1057	S10_BML	1	0.0595948
species_1057	S25_SRF	1	0.0933707
species_1057	S26_BML	1	0.114025
species_1057	S26_SRF	1	0.0873362
species_1057	S8_SRF	3	0.403769
species_1058	S10_BML	1	0.0595948
species_1059	S10_BML	1	0.0595948
species_1059	S10_SRF	1	0.06035
species_1059	S8_BML	1	0.0896861
species_106	S10_BML	2	0.11919
species_106	S25_BML	2	0.196271
species_106	S25_SRF	3	0.280112
species_106	S26_BML	2	0.22805
species_106	S26_SRF	5	0.436681
species_106	S8_BML	1	0.0896861
species_1060	S10_SRF	6	0.3621
species_1060	S8_SRF	1	0.13459
species_1061	S10_SRF	1	0.06035
species_1062	S26_SRF	1	0.0873362
species_1063	S26_BML	1	0.114025
species_1064	S25_SRF	1	0.0933707
species_1065	S25_BML	1	0.0981354
species_1066	S25_SRF	1	0.0933707
species_1067	S10_BML	10	0.595948
species_1067	S10_SRF	2	0.1207
species_1067	S25_BML	1	0.0981354
species_1067	S25_SRF	6	0.560224
species_1067	S26_BML	4	0.4561
species_1067	S26_SRF	8	0.69869
species_1067	S8_BML	9	0.807175
species_1067	S8_SRF	4	0.538358
species_1068	S25_BML	1	0.0981354
species_1069	S10_BML	7	0.417163
species_1069	S10_SRF	3	0.18105
species_1069	S25_BML	3	0.294406
species_1069	S25_SRF	11	1.02708
species_1069	S26_BML	4	0.4561
species_1069	S26_SRF	14	1.22271
species_1069	S8_BML	8	0.717489
species_1069	S8_SRF	8	1.07672
species_107	S10_BML	2	0.11919
species_107	S26_BML	1	0.114025
species_107	S8_BML	1	0.0896861
species_107	S8_SRF	2	0.269179
species_1070	S10_BML	3	0.178784
species_1070	S26_SRF	1	0.0873362
species_1070	S8_BML	1	0.0896861
species_1070	S8_SRF	1	0.13459
species_1071	S8_BML	1	0.0896861
species_1072	S10_BML	2	0.11919
