Species	GTDB_Domain	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species
species_0	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	UBA8649	JAFMKE01	Not_assigned
species_1	Bacteria	MyxococcotaA	UBA9160	UBA9160	UBA4427	UBA4427	Not_assigned
species_10	Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	GCA-002718135	Not_assigned	Not_assigned
species_100	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Not_assigned	Not_assigned
species_1000	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	SAR86	Not_assigned	Not_assigned
species_1001	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Not_assigned
species_1002	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	BACL11	UWMA-0277	Not_assigned
species_1003	root	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned
species_1004	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Porticoccaceae	Not_assigned	Not_assigned
species_1005	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Not_assigned
species_1006	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Not_assigned
species_1007	Bacteria	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned
species_1008	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Not_assigned	Not_assigned	Not_assigned
species_1009	Bacteria	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned
species_101	Bacteria	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned
species_1010	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	2-02-FULL-58-16A	Not_assigned	Not_assigned
species_1011	Bacteria	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned
species_1012	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Not_assigned	Not_assigned	Not_assigned
species_1013	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Not_assigned	Not_assigned
species_1014	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	UBA7434	UBA7434	Not_assigned
species_1015	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86	D2472	D2472	Not_assigned
species_1016	Bacteria	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned
species_1017	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	AG-414-E02	Not_assigned
species_1018	Bacteria	Proteobacteria	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned
species_1019	Bacteria	Proteobacteria	Not_assigned	Not_assigned	Not_assigned	Not_assigned	Not_assigned
species_102	Bacteria	Proteobacteria	Alphaproteobacteria	HIMB59	GCA-002718135	Not_assigned	Not_assigned
species_1020	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	Pelagibacter	Not_assigned
