Sample	Fucose	Galactosamine	Arabinose	Glucosamine	Galactose	Glucose	Xylose
S1_SRF	0.804	0.1	NA	0.301	1.659	4.662	1.756
S1_BML	0.177	0.06	NA	0.098	0.456	1.651	1.155
S1_100	0.31	NA	0.083	0.167	0.603	1.227	0.681
S1_200	0.032	NA	0.09	0.08	0.185	0.862	0.396
S6_SRF	0.9	0.367	0.486	0.523	1.865	9.181	2.139
S6_BML	0.437	NA	0.113	0.212	0.897	2.042	1.258
S6_100	0.041	NA	NA	0.044	0.097	0.516	0.689
S6_200	0.035	NA	NA	0.076	0.158	0.813	0.923
S8_SRF	1.111	0.084	0.26	0.346	1.966	3.552	1.869
S8_BML	1.019	0.077	0.24	0.325	1.751	3.554	1.792
S11_SRF	0.99	0.085	0.208	0.376	1.788	4.255	1.785
S11_BML	0.944	0.258	0.218	0.323	1.643	4.491	1.717
S25_SRF	1.238	NA	0.199	0.41	2.093	7.769	2.137
S25_BML	0.799	NA	0.133	0.26	1.301	4.004	1.4
S26_SRF	0.567	NA	0.167	0.226	1.356	2.447	1.269
S26_BML	0.483	NA	0.104	0.169	1.083	1.932	0.949
S36_SRF	0.359	NA	0.154	0.172	0.803	2.594	0.995
S36_BML	0.223	NA	0.087	0.095	0.284	0.636	0.425
S41_SRF	0.541	NA	0.108	0.219	1.022	2.852	0.994
S41_BML	0.252	NA	NA	0.125	0.444	0.89	0.482
S44_SRF	0.373	NA	0.122	0.183	0.928	2.587	0.853
S44_BML	0.267	NA	0.086	0.155	0.625	1.211	0.649
