Extraction_solvent	Array_sample	Sample	BAM1	BAM2	BAM4	LM19	LM6-M	CBM3a	BS-400-2	BS-400-3	LM21	LM25	LM28	LM10	LM11	INRA-AX1	LM23	BAM7
H2O	1.Ha	S1_SRF	9.8847829	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.5968728	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	8.0753114	5.3380356
H2O	1.Ha	S1_SRF	8.1309291	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.9760844	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	9.4335210	7.2233493
H2O	1.Hb	S1_SRF	9.9890661	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	8.5044526	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.5123275	5.8594515
H2O	1.Hb	S1_SRF	9.0340848	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.6613387	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.4852961	7.6183614	6.9610613
H2O	2.Ha	S1_BML	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	2.Ha	S1_BML	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	2.Hb	S1_BML	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	2.Hb	S1_BML	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	3.Ha	S8_SRF	22.4208870	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.9288283	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.6937171
H2O	3.Ha	S8_SRF	21.7452583	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.0792489	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.5906979
H2O	3.Hb	S8_SRF	21.6062140	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.6532679	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.6747565
H2O	3.Hb	S8_SRF	21.3603585	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.8378175	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.9789032
H2O	4.Ha	S8_BML	18.8423933	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.1652035	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	4.Ha	S8_BML	21.5626047	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.8820589	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.3848050
H2O	4.Hb	S8_BML	19.7095239	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.6823407	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	4.Hb	S8_BML	19.5079097	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.0179430	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	5.Ha	S11_SRF	23.3695480	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	12.8495857	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.8648490
H2O	5.Ha	S11_SRF	23.9661743	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	12.8325212	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	8.2219399
H2O	5.Hb	S11_SRF	21.8912547	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	9.1731291	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.3706098
H2O	5.Hb	S11_SRF	22.3475727	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	11.2992422	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.7891520
H2O	6.Ha	S11_BML	17.5157847	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	12.8034483	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.2260228
H2O	6.Ha	S11_BML	17.6529329	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	12.4741662	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.0686499
H2O	6.Hb	S11_BML	18.2862163	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	13.6250735	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.9338845
H2O	6.Hb	S11_BML	19.6608584	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	13.3880662	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.2890793
H2O	7.Ha	S25_SRF	32.4927476	5.5674586	0.0000000	0.0000000	0.0000000	0.0000000	8.8463751	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.5750428
H2O	7.Ha	S25_SRF	33.1070704	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	8.6662495	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	7.Hb	S25_SRF	31.9384666	5.6578374	0.0000000	0.0000000	0.0000000	0.0000000	8.3540320	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.7166152
H2O	7.Hb	S25_SRF	32.3360068	5.1307332	0.0000000	0.0000000	0.0000000	0.0000000	7.6828274	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.0213939
H2O	8.Ha	S25_BML	32.7436593	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.3751793	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	8.Ha	S25_BML	31.2084842	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.8081126	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	8.Hb	S25_BML	30.2983763	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.4669675	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	8.Hb	S25_BML	29.7396712	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.6218123	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	9.Ha	S26_SRF	15.0635495	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	6.2841685	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.4789759
H2O	9.Ha	S26_SRF	16.6733029	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	9.4859787	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.6287645
H2O	9.Hb	S26_SRF	15.4882666	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	9.1250956	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.9757431
H2O	9.Hb	S26_SRF	14.9516821	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.9179386	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.1692864
H2O	10.Ha	S26_BML	15.3669188	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	9.7476347	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	10.Ha	S26_BML	16.8749170	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	10.8827414	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	10.Hb	S26_BML	12.4672140	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	7.1020016	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	10.Hb	S26_BML	11.5665864	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	8.0911119	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
H2O	11.Ha	S36_SRF	16.3832060	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	5.1831908
H2O	11.Ha	S36_SRF	18.2097419	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
