Station,Depth,Sample,Location,Extraction_name,Solvent,BAM1,BAM2,BAM4,LM19,LM6-M,CBM3a,BS-400-2,BS-400-3,LM21,LM25,LM28,LM10,LM11,INRA-AX1,LM23,MAC207,BAM7
S1,SRF,S1_SRF,Above slope,1.Ha,H2O,10,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,5
S1,SRF,S1_SRF,Above slope,1.Ha,H2O,8,0,0,0,0,0,8,0,0,0,0,0,0,0,9,0,7
S1,SRF,S1_SRF,Above slope,1.Hb,H2O,10,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,6
S1,SRF,S1_SRF,Above slope,1.Hb,H2O,9,0,0,0,0,0,8,0,0,0,0,0,0,5,8,0,7
S1,BML,S1_BML,Above slope,2.Ha,H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,BML,S1_BML,Above slope,2.Ha,H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,BML,S1_BML,Above slope,2.Hb,H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,BML,S1_BML,Above slope,2.Hb,H2O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8,SRF,S8_SRF,Above slope,3.Ha,H2O,22,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
S8,SRF,S8_SRF,Above slope,3.Ha,H2O,22,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6
S8,SRF,S8_SRF,Above slope,3.Hb,H2O,22,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7
S8,SRF,S8_SRF,Above slope,3.Hb,H2O,21,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6
S8,BML,S8_BML,Above slope,4.Ha,H2O,19,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0
S8,BML,S8_BML,Above slope,4.Ha,H2O,22,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5
S8,BML,S8_BML,Above slope,4.Hb,H2O,20,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
S8,BML,S8_BML,Above slope,4.Hb,H2O,20,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
S11,SRF,S11_SRF,Above slope,5.Ha,H2O,23,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8
S11,SRF,S11_SRF,Above slope,5.Ha,H2O,23,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7
S11,SRF,S11_SRF,Above slope,5.Hb,H2O,22,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7
S11,SRF,S11_SRF,Above slope,5.Hb,H2O,22,0,0,0,0,6,11,0,0,0,0,0,8,0,0,0,7
S11,BML,S11_BML,Above slope,6.Ha,H2O,17,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6
S11,BML,S11_BML,Above slope,6.Ha,H2O,18,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6
S11,BML,S11_BML,Above slope,6.Hb,H2O,18,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7
S11,BML,S11_BML,Above slope,6.Hb,H2O,20,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7
S25,SRF,S25_SRF,Above slope,7.Ha,H2O,32,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5
S25,SRF,S25_SRF,Above slope,7.Ha,H2O,33,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
S25,SRF,S25_SRF,Above slope,7.Hb,H2O,32,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6
S25,SRF,S25_SRF,Above slope,7.Hb,H2O,32,5,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5
S25,BML,S25_BML,Above slope,8.Ha,H2O,33,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
S25,BML,S25_BML,Above slope,8.Ha,H2O,31,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
S25,BML,S25_BML,Above slope,8.Hb,H2O,30,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
S25,BML,S25_BML,Above slope,8.Hb,H2O,30,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
S26,SRF,S26_SRF,Open ocean,9.Ha,H2O,15,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5
S26,SRF,S26_SRF,Open ocean,9.Ha,H2O,17,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5
S26,SRF,S26_SRF,Open ocean,9.Hb,H2O,16,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6
S26,SRF,S26_SRF,Open ocean,9.Hb,H2O,15,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
S26,BML,S26_BML,Open ocean,10.Ha,H2O,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
S26,BML,S26_BML,Open ocean,10.Ha,H2O,17,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
S26,BML,S26_BML,Open ocean,10.Hb,H2O,13,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0
S26,BML,S26_BML,Open ocean,10.Hb,H2O,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
S36,SRF,S36_SRF,Open ocean,11.Ha,H2O,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
S36,SRF,S36_SRF,Open ocean,11.Ha,H2O,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S36,SRF,S36_SRF,Open ocean,11.Hb,H2O,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
S36,SRF,S36_SRF,Open ocean,11.Hb,H2O,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S36,BML,S36_BML,Open ocean,12.Ha,H2O,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S36,BML,S36_BML,Open ocean,12.Ha,H2O,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S36,BML,S36_BML,Open ocean,12.Hb,H2O,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S36,BML,S36_BML,Open ocean,12.Hb,H2O,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41,SRF,S41_SRF,Open ocean,13.Ha,H2O,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S41,SRF,S41_SRF,Open ocean,13.Ha,H2O,22,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
