Gene,Target,Target_broad
CBM13,Other,Other
CBM16,Other,Other
CBM2,Other,Other
CBM20,Other,Other
CBM22,Other,Other
CBM26,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
CBM30,Other,Other
CBM32,Other,Other
CBM34,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
CBM35,Other,Other
CBM38,Other,Other
CBM4,Other,Other
CBM41,Other,Other
CBM43,Beta-glucan,Beta-glucan
CBM45,Other,Other
CBM47,Other,Other
CBM48,Other,Other
CBM5,Chitin,Chitin
CBM50,Peptidoglycan/chitin,Peptidoglycan/chitin
CBM51,Other,Other
CBM53,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
CBM56,"Beta-1,3-glucan",Beta-glucan
CBM57,Other,Other
CBM6,Other,Other
CBM63,Other,Other
CBM66,Fructan,Other
CBM67,Other,Other
CBM69,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
CBM73,Chitin,Chitin
CBM85,Other,Other
CBM9,Other,Other
CE1,Other,Other
CE11,Other,Other
CE12,Other,Other
CE13,Pectin,Pectin
CE14,Other,Other
CE15,Other,Other
CE16,Beta-N-acetyl-hexosamine,Beta-N-acetyl-hexosamine
CE19,Other,Other
CE2,Other,Other
CE3,Other,Other
CE4,Peptidoglycan/chitin,Peptidoglycan/chitin
CE6,Other,Other
CE7,Other,Other
CE8,Pectin,Pectin
CE9,N-acetyl-hexosamine,Other
GH1,Other,Other
GH10,Beta-xylan,Beta-xylan
GH100,Other,Other
GH101,Alpha-N-acetyl-hexosamine,Alpha-N-acetyl-hexosamine
GH102,Peptidoglycan,Peptidoglycan
GH103,Peptidoglycan,Peptidoglycan
GH104,Peptidoglycan,Peptidoglycan
GH105,Rhamnogalacturonan/Beta-galacturonan,Galacturonan
GH106,Rhamnogalacturonan/L-rhamnose residues,Galacturonan
GH107,Alpha-fucan,Alpha-fucan
GH108,Peptidoglycan,Peptidoglycan
GH109,N-acetyl-hexosamine,Other
GH110,Alpha-galactan,Alpha-galactan
GH113,Beta-mannan,Beta-mannan
GH114,Polygalactosamine,Other
GH115,Other,Other
GH116,Other,Other
GH117,Beta-galactofuranosyl residues,Beta-galactofuranosyl residues
GH12,Beta-glucan/xyloglucan,Beta-glucan
GH120,Beta-xylan,Beta-xylan
GH123,Beta-N-acetyl-hexosamine,Beta-N-acetyl-hexosamine
GH125,Alpha-mannan,Alpha-mannan
GH127,Other,Other
GH128,"Beta-1,3-glucan",Beta-glucan
GH13,Other,Other
GH13_1,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_10,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_11,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_13,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_14,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_16,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_18,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_19,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_2,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_20,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_21,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_23,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_25,Other,Other
GH13_26,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
GH13_27,Starch/glycogen/Alpha-glucan,Starch/glycogen/Alpha-glucan
