Sample	Station	Depth_cat	Depth_(m)	Location	Latitude_(deg_N)	Longitude_(deg_E)	Date	Time	Temperature_(Celsius)	Salinity_(psu)	Chlorophyll_a_(mg m3)
S1_SRF	S1	SRF	2	Above slope	80.521397	12.971455	9/15/2020	8:11	5.39	34.31	1.6
S1_BML	S1	BML	30	Above slope	80.521397	12.971455	9/15/2020	8:11	5.63	34.93	0.18
S1_100	S1	m100	100	Above slope	80.521397	12.971455	9/15/2020	8:11	4.44	35.01	0
S1_200	S1	m200	200	Above slope	80.521397	12.971455	9/15/2020	8:11	3.6	34.99	0
S6_SRF	S6	SRF	2	Above slope	80.521426	12.971969	9/16/2020	16:29	5.06	34.08	1.93
S6_BML	S6	BML	30	Above slope	80.521426	12.971969	9/16/2020	16:29	4.79	34.51	1.2
S6_100	S6	m100	100	Above slope	80.521426	12.971969	9/16/2020	16:29	4.43	35	0
S6_200	S6	m200	200	Above slope	80.521426	12.971969	9/16/2020	16:29	3.54	34.98	0
S8_SRF	S8	SRF	2	Above slope	78.413624	9.207339	9/17/2020	7:11	6.79	34.82	3.19
S8_BML	S8	BML	35	Above slope	78.413624	9.207339	9/17/2020	7:11	6.8	34.95	1.17
S10_SRF	S10	SRF	2	Above shelf	78.455829	10.256424	9/17/2020	14:01	4.11	32.95	0.8
S10_BML	S10	BML	35	Above shelf	78.455829	10.256424	9/17/2020	14:01	5.73	34.1	0.87
S11_SRF	S11	SRF	2	Above slope	76.414619	14.000364	9/18/2020	3:36	7.73	34.88	2.13
S11_BML	S11	BML	38	Above slope	76.414619	14.000364	9/18/2020	3:36	7.66	34.92	1.51
S25_SRF	S25	SRF	2	Above slope	78.998513	8.247126	9/21/2020	23:11	6.18	34.61	2.57
S25_BML	S25	BML	23	Above slope	78.998513	8.247126	9/21/2020	23:11	6.42	34.67	2.61
S26_SRF	S26	SRF	2	Open ocean	78.600982	5.061096	9/22/2020	3:40	5.04	34.84	2.1
S26_BML	S26	BML	38	Open ocean	78.600982	5.061096	9/22/2020	3:40	5.04	34.84	1.99
S36_SRF	S36	SRF	2	Open ocean	79.071368	4.142604	9/25/2020	21:27	5.1	34.95	1.57
S36_BML	S36	BML	38	Open ocean	79.071368	4.142604	9/25/2020	21:27	5.11	34.96	1.36
S41_SRF	S41	SRF	2	Open ocean	79.736652	4.325782	9/27/2020	10:39	5.29	34.83	1.34
S41_BML	S41	BML	38	Open ocean	79.736652	4.325782	9/27/2020	10:39	5.55	34.91	1.07
S44_SRF	S44	SRF	2	Open ocean	79.110118	4.628079	9/28/2020	10:59	4.83	34.96	1.15
S44_BML	S44	BML	38	Open ocean	79.110118	4.628079	9/28/2020	10:59	4.84	34.96	1.13
