MAG_name	Gene_name	Gene_1	Gene_2	S10_SRF_TPM	S25_SRF_TPM	S25_BML_TPM	S26_BML_TPM
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-101_95_1615_-	"  Cytosol aminopeptidase family, catalytic domain"	MER0035089 - leucyl aminopeptidase	0	0	0	0
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-2_16447_17868_-	  PmbA/TldA metallopeptidase C-terminal domain	MER0016301 - TldD peptidase	0.889220293	5.379322048	0	1.702390685
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-13_77345_78235_+	  Metallopeptidase family M24	MER0001243 - methionyl aminopeptidase 1	4.128464465	4.494120383	0	6.313813753
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-2_4585_5904_-	  Metallopeptidase family M24	MER0001244 - aminopeptidase P	0.049762741	5.01961002	0	0.145881516
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-25_62329_63663_+	  Metallopeptidase family M24	MER0001250 - Xaa-Pro dipeptidase	1.562214598	3.470211805	0	1.689696658
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-28_21627_23565_+	"  Cytosol aminopeptidase family, catalytic domain"	MER0001236 - PepA aminopeptidase	0.914669469	0.731588424	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-24_2_850_+	  Trypsin-like peptidase domain	MER0003290 - HtrA peptidase	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-55_11391_12782_-	Proline iminopeptidase 	MER0001367 - prolyl aminopeptidase 2	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-65_20427_21920_+	  Carboxypeptidase Taq (M32) metallopeptidase	MER0001186 - carboxypeptidase Taq	0	0	0	0
FRAM_WSC20_S10_BML_bin_129_1	FRAM_WSC20_S10_BML_bin_129_1-read-82_938_1771_+	  Metallopeptidase family M24	MER0001243 - methionyl aminopeptidase 1	0	0	0	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-1_86458_87960_-	"  Cytosol aminopeptidase family, catalytic domain"	MER0035089 - leucyl aminopeptidase	0	0	0	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_69662_70717_-	  Metallopeptidase family M24	MER0004532 - PH0974 dipeptidase	0	0	0	0
FRAM_WSC20_S10_BML_bin_147_1	FRAM_WSC20_S10_BML_bin_147_1-read-1_11599_12975_-	  Metallopeptidase family M24	MER0001244 - aminopeptidase P	9.647900545	8.554358398	0.903867011	13.79449802
FRAM_WSC20_S10_BML_bin_147_1	FRAM_WSC20_S10_BML_bin_147_1-read-3_209413_210573_-	  Metallopeptidase family M24	MER0005462 - leucine aminopeptidase	12.58855911	10.54798971	0	19.31085698
FRAM_WSC20_S10_BML_bin_147_1	FRAM_WSC20_S10_BML_bin_147_1-read-4_152377_153873_-	  Carboxypeptidase Taq (M32) metallopeptidase	MER0001186 - carboxypeptidase Taq	6.450208635	11.10725465	0	9.831236422
FRAM_WSC20_S10_BML_bin_157_1	FRAM_WSC20_S10_BML_bin_157_1-read-2_99250_100416_-	  Peptidase family M20/M25/M40	MER0002007 - carboxypeptidase Ss1	3.349070868	0.24618788	0	0
FRAM_WSC20_S10_BML_bin_157_1	FRAM_WSC20_S10_BML_bin_157_1-read-5_136718_137527_-	  Metallopeptidase family M24	MER0001243 - methionyl aminopeptidase 1	0	0.221683068	0	0
FRAM_WSC20_S10_BML_bin_157_1	FRAM_WSC20_S10_BML_bin_157_1-read-11_48291_49754_+	  PmbA/TldA metallopeptidase C-terminal domain	MER0016301 - TldD peptidase	1.23387125	0.772710859	0	0
FRAM_WSC20_S10_BML_bin_158_1	FRAM_WSC20_S10_BML_bin_158_1-read-2_9255_10340_+	  Metallopeptidase family M24	MER0005462 - leucine aminopeptidase	19.86935533	7.771155072	1.14606342	10.56288103
FRAM_WSC20_S10_BML_bin_158_1	FRAM_WSC20_S10_BML_bin_158_1-read-18_5469_6359_+	  Peptidase family M48	MER0002637 - HtpX peptidase	4.14689511	7.517071314	0	6.884990059
FRAM_WSC20_S10_BML_bin_158_1	FRAM_WSC20_S10_BML_bin_158_1-read-18_6370_7149_+	  Metallopeptidase family M24	MER0001243 - methionyl aminopeptidase 1	5.494955013	4.42001933	0	6.066106108
FRAM_WSC20_S10_BML_bin_158_1	FRAM_WSC20_S10_BML_bin_158_1-read-25_9889_11139_+	  Metallopeptidase family M24	MER0001244 - aminopeptidase P	14.57081706	5.540481864	0	11.83044619
FRAM_WSC20_S10_BML_bin_158_1	FRAM_WSC20_S10_BML_bin_158_1-read-47_39803_41230_-	"  Cytosol aminopeptidase family, catalytic domain"	MER0001236 - PepA aminopeptidase	15.65121849	5.62078351	0.871586047	7.95605914
FRAM_WSC20_S10_BML_bin_160_1	FRAM_WSC20_S10_BML_bin_160_1-read-3_47369_48681_-	  Metallopeptidase family M24	MER0001243 - methionyl aminopeptidase 1	0	0	0	0
FRAM_WSC20_S10_BML_bin_160_1	FRAM_WSC20_S10_BML_bin_160_1-read-20_4011_5258_+	  Peptidase family M20/M25/M40	MER0001421 - peptidase T	0.315802012	1.03594203	0	0
FRAM_WSC20_S10_BML_bin_160_1	FRAM_WSC20_S10_BML_bin_160_1-read-31_1621_2829_+	  Insulinase (Peptidase family M16)	MER0003448 - YMXG peptidase	0	4.440812431	0	0
FRAM_WSC20_S10_BML_bin_170_1	FRAM_WSC20_S10_BML_bin_170_1-read-9_60694_62073_-	"  Cytosol aminopeptidase family, catalytic domain"	MER0002497 - PepB aminopeptidase	0	0	0	0
FRAM_WSC20_S10_BML_bin_170_1	FRAM_WSC20_S10_BML_bin_170_1-read-10_53387_54820_-	  PmbA/TldA metallopeptidase C-terminal domain	MER0016301 - TldD peptidase	0	3.481073452	0.433969622	0.153467703
FRAM_WSC20_S10_BML_bin_170_1	FRAM_WSC20_S10_BML_bin_170_1-read-10_64420_65682_+	  Insulinase (Peptidase family M16)	MER0003448 - YMXG peptidase	0	3.710690218	0	0
FRAM_WSC20_S10_BML_bin_28_1	FRAM_WSC20_S10_BML_bin_28_1-read-9_10632_12080_+	  PmbA/TldA metallopeptidase C-terminal domain	MER0016301 - TldD peptidase	0.577989604	2.36691425	0	0
FRAM_WSC20_S10_BML_bin_28_1	FRAM_WSC20_S10_BML_bin_28_1-read-9_14477_15823_+	  PmbA/TldA metallopeptidase C-terminal domain	MER0016222 - microcin-processing peptidase 1 homologue	0	0	0	0
FRAM_WSC20_S10_BML_bin_28_1	FRAM_WSC20_S10_BML_bin_28_1-read-9_34123_35427_+	  Metallopeptidase family M24	MER0001244 - aminopeptidase P	0	0	0.715301652	0
FRAM_WSC20_S10_BML_bin_28_1	FRAM_WSC20_S10_BML_bin_28_1-read-11_49461_50225_+	  Metallopeptidase family M24	MER0001243 - methionyl aminopeptidase 1	0.858651223	0	0	0
FRAM_WSC20_S10_BML_bin_28_1	FRAM_WSC20_S10_BML_bin_28_1-read-13_31187_33217_-	  Peptidase family M13	MER0004775 - Zmp1 peptidase	0.355763173	1.193552118	0	0
FRAM_WSC20_S10_BML_bin_28_1	FRAM_WSC20_S10_BML_bin_28_1-read-14_22423_22944_-	  Signal peptidase (SPase) II	MER0001313 - signal peptidase II	3.96385974	0	0	0
