MAG_name	Gene_name	Gene	S10_SRF_TPM	S25_SRF_TPM	S25_BML_TPM	S26_BML_TPM
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-8_46786_47460_+	TolQ_protein	1.605677787	4.814956242	0	21.76274346
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-25_20160_21035_+	  TonB_C_terminal	0	0	0	1.758571698
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-45_20415_21032_+	  TonB_C_terminal	0	0	0	0
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-54_4269_4968_-	TolQ_protein	0	0	0	0
FRAM_WSC20_S10_BML_bin_157_1	FRAM_WSC20_S10_BML_bin_157_1-read-11_90748_91443_-	TolQ_protein	5.332335126	0	0	0
FRAM_WSC20_S10_BML_bin_160_1	FRAM_WSC20_S10_BML_bin_160_1-read-22_10582_11247_+	TolQ_protein	0	0.485306176	0	1.672849815
FRAM_WSC20_S10_BML_bin_170_1	FRAM_WSC20_S10_BML_bin_170_1-read-2_24026_24751_-	TonB_system_energiser_ExbB	0	0	0	0.909391267
FRAM_WSC20_S10_BML_bin_28_1	FRAM_WSC20_S10_BML_bin_28_1-read-3_49660_50553_+	  TonB_C_terminal	0	0	0	2.015486714
FRAM_WSC20_S10_BML_bin_28_1	FRAM_WSC20_S10_BML_bin_28_1-read-6_45595_48991_-	TonB_receptor	0.391568465	0	3.205907463	1.1013352
FRAM_WSC20_S10_BML_bin_32_1	FRAM_WSC20_S10_BML_bin_32_1-read-53_17891_18625_+	TolQ_protein	0	0.806202505	0	0.72983289
FRAM_WSC20_S10_BML_bin_37_1	FRAM_WSC20_S10_BML_bin_37_1-read-13_82046_82648_+	  TonB_C_terminal	0	0	0	0
FRAM_WSC20_S10_BML_bin_40_1	FRAM_WSC20_S10_BML_bin_40_1-read-2_172204_174432_-	TonB_siderophore_receptor	1.178767493	0.016111555	0	0.012341447
FRAM_WSC20_S10_BML_bin_40_1	FRAM_WSC20_S10_BML_bin_40_1-read-5_116128_116814_-	TolQ_protein	0	6.403639722	1.81168104	2.322455573
FRAM_WSC20_S10_BML_bin_40_1	FRAM_WSC20_S10_BML_bin_40_1-read-10_101592_102209_+	  TonB_C_terminal	0	4.329276619	0	2.29242382
FRAM_WSC20_S10_BML_bin_46_1	FRAM_WSC20_S10_BML_bin_46_1-read-9_94317_94922_+	  TonB_C_terminal	8.400541976	0.681510819	0	0
FRAM_WSC20_S10_BML_bin_46_1	FRAM_WSC20_S10_BML_bin_46_1-read-12_58136_61084_+	TonB_receptor	3.296591775	1.096011914	0	0
FRAM_WSC20_S10_BML_bin_50_1	FRAM_WSC20_S10_BML_bin_50_1-read-1_251185_254166_+	TonB_receptor	0.264333274	2.824117397	0.208689617	0
FRAM_WSC20_S10_BML_bin_50_1	FRAM_WSC20_S10_BML_bin_50_1-read-2_651841_652995_-	  TonB_C_terminal	0	0	0	0.940786918
FRAM_WSC20_S10_BML_bin_50_1	FRAM_WSC20_S10_BML_bin_50_1-read-3_8952_9647_+	  TonB_C_terminal	0	0.644983065	0	1.778604688
