MAG_name	Gene_name	Gene	S10_SRF_TPM	S25_SRF_TPM	S25_BML_TPM	S26_BML
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-37_8776_9201_-	RBP_L11	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_6590_7249_+	RBP_L4	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_7540_8370_+	RBP_L2	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_8385_8660_+	RBP_S19	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_8660_9025_+	RBP_L22	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_8974_9714_+	RBP_S3	0.044323089	4.555721678	0	0.037124272
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_9788_10198_+	RBP_L16	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_10482_10691_+	RBP_S17	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_10779_11147_+	RBP_L14	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_11150_11728_+	RBP_L5	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_11743_12138_+	RBP_S8	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_12142_12678_+	RBP_L6	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_12681_13049_+	RBP_L18	0	0	0	0
FRAM_WSC20_S10_BML_bin_101_1	FRAM_WSC20_S10_BML_bin_101_1-read-97_13818_14255_+	RBP_L15	0	0	0	0
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_10157_10627_-	RBP_L15	0	10.02656986	0	1.080505495
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_11736_12095_-	RBP_L18	0	2.992721421	2.592968488	1.948560247
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_12107_12640_-	RBP_L6	2.706198517	2.959095338	5.244205931	3.889393223
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_12651_13362_-	RBP_S8	2.53706111	4.085569131	4.37017161	16.76817873
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_14676_14906_-	RBP_S17	0	0	5.387986469	4.525304164
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_16038_16451_-	RBP_L16	6.584548236	0	1.503170138	8.239436338
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_16463_17562_-	RBP_S3	2.373682761	1.191647257	3.960170055	7.915114244
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_17566_17844_-	RBP_S19	2.766380351	0	3.345765791	11.53606826
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_17848_18690_-	RBP_L2	3.818095028	10.45854959	6.274799189	6.999642838
FRAM_WSC20_S10_BML_bin_107_1	FRAM_WSC20_S10_BML_bin_107_1-read-11_37019_37468_-	RBP_L11	2.226053295	8.299814075	4.148749581	0.091696953
FRAM_WSC20_S10_BML_bin_110_1	FRAM_WSC20_S10_BML_bin_110_1-read-49_39051_39485_+	RBP_L11	0.868274038	8.916245889	5.007111564	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_381621_382160_-	RBP_L6	0	0	0	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_382171_382572_-	RBP_S8	0	0	0	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_382778_383419_-	RBP_L5	0	0	0	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_384086_384376_-	RBP_S17	0	0	2.138530712	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_384594_385010_-	RBP_L16	0	0	2.984711929	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_388028_388933_-	RBP_L4	0	0	0	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_388935_389582_-	RBP_L3	0	0	0	0
FRAM_WSC20_S10_BML_bin_14_1	FRAM_WSC20_S10_BML_bin_14_1-read-4_413833_414258_-	RBP_L11	0	0	0	0
FRAM_WSC20_S10_BML_bin_147_1	FRAM_WSC20_S10_BML_bin_147_1-read-5_9644_10060_-	RBP_L15	2.559738133	25.19053283	1.492355965	7.685392087
